Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
665,Surry-1,37.166000,-76.700000,United States,US,Operational,PWR,WH 3LP (DRYSUB),1968-06-25,1972-12-22,,788,2017-02-10T23:58:10+02:00,WNA/IAEA,631
666,Surry-2,37.166000,-76.700000,United States,US,Operational,PWR,WH 3LP (DRYSUB),1968-06-25,1973-05-01,,788,2017-02-10T23:58:11+02:00,WNA/IAEA,632
667,Susquehanna-1,41.093000,-76.143000,United States,US,Operational,BWR,BWR-4 (Mark 2),1973-11-02,1983-06-08,,1065,2015-05-24T04:51:48+03:00,WNA/IAEA,696
668,Susquehanna-2,41.093000,-76.143000,United States,US,Operational,BWR,BWR-4 (Mark 2),1973-11-02,1985-02-12,,1065,2015-05-24T04:51:48+03:00,WNA/IAEA,697
669,Taishan-1,21.917778,112.981944,China,CN,Operational,PWR,EPR-1750,2009-11-18,2018-12-13,,1660,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,918
670,Taishan-2,21.917778,112.981944,China,CN,Operational,PWR,EPR-1750,2010-04-15,2019-09-07,,1660,2022-09-24T22:33:57+03:00,WNA/IAEA/Wikipedia,919
671,Takahama-1,35.520000,135.503000,Japan,JP,Operational,PWR,M (3-loop),1970-04-25,1974-11-14,,780,2024-03-03T20:43:43+02:00,WNA/IAEA,388
672,Takahama-2,35.520000,135.503000,Japan,JP,Operational,PWR,M (3-loop),1971-03-09,1975-11-14,,780,2024-03-03T20:43:43+02:00,WNA/IAEA,337
673,Takahama-3,35.520000,135.503000,Japan,JP,Operational,PWR,M (3-loop),1980-12-12,1985-01-17,,830,2015-05-24T04:51:28+03:00,WNA/IAEA,354
674,Takahama-4,35.520000,135.503000,Japan,JP,Operational,PWR,M (3-loop),1981-03-19,1985-06-05,,830,2015-05-24T04:51:28+03:00,WNA/IAEA,356
675,Taohuajiang-1,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,
676,Taohuajiang-2,,,China,CN,Planned,PWR,AP-1000,,,,,,WNA,
677,Taohuajiang-3,,,China,CN,Planned,PWR,,,,,,,WNA,
678,Taohuajiang-4,,,China,CN,Planned,PWR,,,,,,,WNA,
679,Tarapur-1,19.834000,72.657000,India,IN,Suspended Operation,BWR,BWR-1 (Mark 2),1964-10-01,1969-10-28,,200,2023-08-28T08:01:45+03:00,WNA/IAEA,285
680,Tarapur-2,19.834000,72.657000,India,IN,Suspended Operation,BWR,BWR-1 (Mark 2),1964-10-01,1969-10-28,,200,2023-08-28T08:01:45+03:00,WNA/IAEA,296
681,Tarapur-3,19.834000,72.657000,India,IN,Operational,PHWR,Horizontal Pressure Tube Type,2000-05-12,2006-08-18,,502,2015-05-24T04:54:06+03:00,WNA/IAEA,300
682,Tarapur-4,19.834000,72.657000,India,IN,Operational,PHWR,Horizontal Pressure Tube Type,2000-03-08,2005-09-12,,502,2015-05-24T04:54:06+03:00,WNA/IAEA,301
683,Temelin-1,49.181000,14.377000,Czechia,CZ,Operational,PWR,VVER V-320,1987-02-01,2002-06-10,,1027,2021-02-14T03:47:53+02:00,WNA/IAEA,74
684,Temelin-2,49.181000,14.377000,Czechia,CZ,Operational,PWR,VVER V-320,1987-02-01,2003-04-18,,1029,2021-02-14T03:47:53+02:00,WNA/IAEA,75
685,Three Mile Island-1,40.154000,-76.727000,United States,US,Shutdown,PWR,B&W LLP (DRYAMB),1968-05-18,1974-09-02,2019-09-20,819,2019-11-22,WNA/IAEA,637
686,Three Mile Island-2,40.154000,-76.727000,United States,US,Shutdown,PWR,PWR,1969-11-01,1978-12-30,1979-03-28,906,2022-04-21T20:26:19+03:00,WNA/IAEA,657
687,THTR-300,51.680000,7.972000,Germany,DE,Shutdown,HTGR,Pebble bed reactor,1971-05-03,1987-06-01,1988-09-29,296,2015-05-24T04:54:05+03:00,WNA/IAEA,92
688,Tianwan-1,34.690000,119.456000,China,CN,Operational,PWR,VVER V-428,1999-10-20,2007-05-17,,990,2015-05-24T04:51:50+03:00,WNA/IAEA,838
689,Tianwan-2,34.690000,119.456000,China,CN,Operational,PWR,VVER V-428,2000-09-20,2007-08-16,,990,2015-05-24T04:51:50+03:00,WNA/IAEA,839
690,Tianwan-3,34.686800,119.456000,China,CN,Operational,PWR,VVER V-428M,2012-12-27,2018-02-14,,1060,2018-07-01T01:21:55+03:00,WNA/IAEA,973
691,Tianwan-4,34.685800,119.456000,China,CN,Operational,PWR,VVER V-428M,2013-09-27,2018-12-22,,1060,2019-06-02T20:19:28+03:00,WNA/IAEA,974
692,Tianwan-5,34.683800,119.456000,China,CN,Operational,PWR,CNP-1000,2015-12-27,2020-09-08,,1000,2021-01-06T01:19:47+02:00,WNA/Wikipedia/IAEA,975
693,Tianwan-6,34.682800,119.456000,China,CN,Operational,PWR,CNP-1000,2016-09-07,2021-06-02,,1000,2021-06-29T00:12:17+03:00,WNA/Wikipedia/IAEA,976
694,Tihange-1,50.533000,5.271000,Belgium,BE,Operational,PWR,Framatome 3 loops reactor,1970-06-01,1975-10-01,,870,2015-05-24T04:54:04+03:00,WNA/IAEA,10
695,Tihange-2,50.533000,5.271000,Belgium,BE,Shutdown,PWR,WH 3LP,1976-04-01,1983-06-01,2023-02-01,900,2023-08-28T08:01:45+03:00,WNA/IAEA,13
696,Tihange-3,50.533000,5.271000,Belgium,BE,Operational,PWR,WH 3LP,1978-11-01,1985-09-01,,1020,2017-02-10T23:55:44+02:00,WNA/IAEA,15
697,Tokai-1,36.466000,140.612000,Japan,JP,Shutdown,GCR,MAGNOX,1961-03-01,1966-07-25,1998-03-31,159,2015-05-24T04:51:27+03:00,WNA/IAEA,344
698,Tokai-2,36.466000,140.612000,Japan,JP,Suspended Operation,BWR,BWR-5,1973-10-03,1978-11-28,,1056,2023-08-28T08:01:45+03:00,WNA/IAEA,346
699,Tomari-1,43.038000,140.515000,Japan,JP,Suspended Operation,PWR,M (2-loop),1985-04-18,1989-06-22,,550,2022-09-24T22:33:57+03:00,WNA/IAEA,370
700,Tomari-2,43.038000,140.515000,Japan,JP,Suspended Operation,PWR,M (2-loop),1985-06-13,1991-04-12,,550,2022-09-24T22:33:57+03:00,WNA/IAEA,371
701,Tomari-3,43.038000,140.515000,Japan,JP,Suspended Operation,PWR,M (3-loop),2004-11-18,2009-12-22,,866,2022-09-24T22:33:57+03:00,WNA/IAEA,856
702,Torness-1,55.966000,-2.399000,United Kingdom,GB,Operational,GCR,AGR,1980-08-01,1988-05-25,,645,2015-05-24T04:51:18+03:00,WNA/IAEA,261
703,Torness-2,55.966000,-2.399000,United Kingdom,GB,Operational,GCR,AGR,1980-08-01,1989-02-03,,645,2015-05-24T04:51:18+03:00,WNA/IAEA,262
704,Trawsfynydd-1,52.923000,-3.947000,United Kingdom,GB,Shutdown,GCR,MAGNOX,1959-07-01,1965-03-24,1991-02-06,250,2015-05-24T04:51:20+03:00,WNA/IAEA,273
705,Trawsfynydd-2,52.922000,-3.947000,United Kingdom,GB,Shutdown,GCR,MAGNOX,1959-07-01,1965-03-24,1991-02-04,250,2015-05-24T04:51:20+03:00,WNA/IAEA,274
706,Tricastin-1,44.330000,4.733000,France,FR,Operational,PWR,CP1,1974-11-01,1980-12-01,,915,2015-05-24T04:50:51+03:00,WNA/IAEA,170
707,Tricastin-2,44.330000,4.733000,France,FR,Operational,PWR,CP1,1974-12-01,1980-12-01,,915,2015-05-24T04:50:51+03:00,WNA/IAEA,171
708,Tricastin-3,44.331000,4.733000,France,FR,Operational,PWR,CP1,1975-04-01,1981-05-11,,915,2015-05-24T04:50:53+03:00,WNA/IAEA,179
709,Tricastin-4,44.331000,4.733000,France,FR,Operational,PWR,CP1,1975-05-01,1981-11-01,,915,2015-05-24T04:50:53+03:00,WNA/IAEA,180
710,Trillo-1,40.699000,-2.622000,Spain,ES,Operational,PWR,PWR 3 loops,1979-08-17,1988-08-06,,990,2015-05-24T04:50:49+03:00,WNA/IAEA,141
712,Trojan,46.040000,-122.887000,United States,US,Shutdown,PWR,,1970-02-01,1976-05-20,1992-11-09,1130,2015-05-24T04:51:47+03:00,WNA/IAEA,675
713,Tsuruga-1,35.672000,136.079000,Japan,JP,Shutdown,BWR,BWR-2,1966-11-24,1970-03-14,2015-04-27,341,2015-05-24T04:51:28+03:00,WNA/IAEA,355
714,Tsuruga-2,35.672000,136.079000,Japan,JP,Suspended Operation,PWR,M (4-loop),1982-11-06,1987-02-17,,1115,2022-12-30T02:24:37+02:00,WNA/IAEA,360
715,Tsuruga-3,,,Japan,JP,Planned,PWR,,,,,,,WNA,
716,Tsuruga-4,,,Japan,JP,Planned,PWR,,,,,,,WNA,
717,Turkey Point-3,25.435000,-80.330000,United States,US,Operational,PWR,WH 3LP (DRYAMB),1967-04-27,1972-12-14,,693,2017-02-10T23:57:56+02:00,WNA/IAEA,613
718,Turkey Point-4,25.435000,-80.330000,United States,US,Operational,PWR,WH 3LP (DRYAMB),1967-04-27,1973-09-07,,693,2017-02-10T23:57:58+02:00,WNA/IAEA,614
725,Unterweser,53.429000,8.477000,Germany,DE,Shutdown,PWR,PWR,1972-07-01,1979-09-06,2011-08-06,1230,2015-05-24T04:50:42+03:00,WNA/IAEA,90
726,Vandellos-1,40.949000,0.867000,Spain,ES,Shutdown,GCR,,1968-06-21,1972-08-02,1990-07-31,480,2015-05-24T04:50:49+03:00,WNA/IAEA,150
727,Vandellos-2,40.949000,0.867000,Spain,ES,Operational,PWR,WH 3LP,1980-12-29,1988-03-08,,930,2017-02-10T23:56:13+02:00,WNA/IAEA,146
728,Vermont Yankee,42.779000,-72.514000,United States,US,Shutdown,BWR,BWR-4 (Mark 1),1967-12-11,1972-11-30,2014-12-29,514,2015-05-24T04:51:42+03:00,WNA/IAEA,626
729,Visaginas-1,55.605700,26.575842,Lithuania,LT,Planned,,,,,,,,WNA,
730,Visaginas-2,55.605700,26.575842,Lithuania,LT,Planned,,,,,,,,WNA,
731,Vogtle-1,33.143000,-81.760000,United States,US,Operational,PWR,WH 4LP (DRYAMB),1976-08-01,1987-06-01,,1122,2017-02-10T23:59:15+02:00,WNA/IAEA,718
732,Vogtle-2,33.143000,-81.760000,United States,US,Operational,PWR,WH 4LP (DRYAMB),1976-08-01,1989-05-20,,1101,2017-02-10T23:59:16+02:00,WNA/IAEA,719
733,Vogtle-3,33.139900,-81.768600,United States,US,Operational,PWR,AP-1000,2013-03-02,2023-07-31,,1117,2023-08-28T08:01:45+03:00,WNA/IAEA,1042
734,Vogtle-4,33.139900,-81.771200,United States,US,Under Construction,PWR,AP-1000,2013-11-19,,,1117,2015-05-24T04:51:58+03:00,WNA/IAEA,1043
735,Waterford-3,29.994000,-90.471000,United States,US,Operational,PWR,CE 2LP (DRYAMB),1974-11-14,1985-09-24,,1104,2017-02-10T23:58:56+02:00,WNA/IAEA,695
736,Watts Bar-1,35.601000,-84.789000,United States,US,Operational,PWR,WH 4LP (ICECND),1973-07-20,1996-05-27,,1218,2017-02-10T23:58:57+02:00,WNA/IAEA,699
737,Watts Bar-2,35.601000,-84.789000,United States,US,Operational,PWR,WH 4LP (ICECND),1973-09-01,2016-10-19,,1165,2017-02-10T23:58:57+02:00,WNA/IAEA,700
738,Windscale AGR,54.426000,-3.505000,United Kingdom,GB,Shutdown,GCR,AGR,1958-11-01,1963-03-01,1981-04-03,32,2015-05-24T04:51:19+03:00,WNA/IAEA,268
739,Winfrith SGHWR,50.680000,-2.272000,United Kingdom,GB,Shutdown,SGHWR,,1963-05-01,1968-01-01,1990-09-11,92,2015-05-24T04:51:12+03:00,WNA/IAEA,239
740,Wolf Creek,38.239000,-95.691000,United States,US,Operational,PWR,WH 4LP (DRYAMB),1977-05-31,1985-09-03,,1170,2017-02-10T23:59:19+02:00,WNA/IAEA,751
741,Wolsong-1,35.710000,129.476000,South Korea,KR,Shutdown,PHWR,CANDU 6,1977-10-30,1983-04-22,2019-12-24,629,2020-04-18T04:46:52+03:00,WNA/IAEA,407
742,Wolsong-2,35.710000,129.476000,South Korea,KR,Operational,PHWR,CANDU 6,1992-09-25,1997-07-01,,652,2022-04-21T20:26:19+03:00,WNA/IAEA,408
743,Wolsong-3,35.710000,129.476000,South Korea,KR,Operational,PHWR,CANDU 6,1994-03-17,1998-07-01,,665,2022-04-21T20:26:19+03:00,WNA/IAEA,400
744,Wolsong-4,35.710000,129.476000,South Korea,KR,Operational,PHWR,CANDU 6,1994-07-22,1999-10-01,,669,2022-04-21T20:26:19+03:00,WNA/IAEA,401
745,Wolsong-5,35.710100,129.481000,South Korea,KR,Planned,PHWR,,,,,,,WNA,
746,Wolsong-6,35.710100,129.481000,South Korea,KR,Planned,PHWR,,,,,,,WNA,
747,Wuergassen,51.639000,9.393000,Germany,DE,Shutdown,BWR,,1968-01-26,1975-11-11,1994-08-26,640,2015-05-24T04:50:48+03:00,WNA/IAEA,136
748,Wuhu-1,,,China,CN,Planned,PWR,,,,,,,WNA,
749,Wuhu-2,,,China,CN,Planned,PWR,,,,,,,WNA,
750,Wylfa-1,53.416000,-4.480000,United Kingdom,GB,Shutdown,GCR,MAGNOX,1963-09-01,1971-11-01,2015-12-30,550,2016-03-09T18:43:09+02:00,WNA/IAEA,240
751,Wylfa-2,53.416000,-4.480000,United Kingdom,GB,Shutdown,GCR,MAGNOX,1963-09-01,1972-01-03,2012-04-25,550,2015-05-24T04:51:13+03:00,WNA/IAEA,241
752,Xianning-1,29.660000,114.670000,China,CN,Planned,PWR,AP-1000,,,,,,WNA/Wikipedia,
753,Xianning-2,29.660000,114.670000,China,CN,Planned,PWR,AP-1000,,,,,,WNA/Wikipedia,
754,Xiaomoshan (Jiulongshan) 1,,,China,CN,Planned,PWR,,,,,,,WNA,
755,Xiaomoshan (Jiulongshan) 2,,,China,CN,Planned,PWR,,,,,,,WNA,
756,Yangjiang-1,21.706000,112.256000,China,CN,Operational,PWR,CPR-1000,2008-12-16,2014-03-25,,1021,2015-05-24T04:51:52+03:00,WNA/IAEA,881
757,Yangjiang-2,21.706000,112.256000,China,CN,Operational,PWR,CPR-1000,2009-06-04,2015-06-05,,1000,2015-08-23T03:28:27+03:00,WNA/IAEA,882
758,Yangjiang-3,21.706000,112.256000,China,CN,Operational,PWR,CPR-1000,2010-11-15,2016-01-01,,1000,2016-03-09T18:43:57+02:00,WNA/IAEA,931
759,Yangjiang-4,21.857500,111.982500,China,CN,Operational,PWR,CPR-1000,2012-11-17,2017-03-15,,1000,2017-09-25T03:20:38+03:00,WNA/IAEA,932
760,Yangjiang-5,21.857500,111.982500,China,CN,Operational,PWR,ACPR-1000,2013-09-18,2018-07-12,,1021,2019-06-02T20:19:31+03:00,IAEA,933
761,Yangjiang-6,21.857500,111.982500,China,CN,Operational,PWR,ACPR-1000,2013-12-23,2019-07-24,,1000,2019-11-22,IAEA,934
762,Yanjiashan-1,,,China,CN,Planned,PWR,,,,,,,WNA,
763,Yanjiashan-2,,,China,CN,Planned,PWR,,,,,,,WNA,
764,Yankee Rowe,42.728000,-72.929000,United States,US,Shutdown,PWR,PWR,1957-11-01,1961-07-01,1991-10-01,175,2015-05-24T04:51:43+03:00,WNA/IAEA,638
771,Zaporozhye-1,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1980-04-01,1985-12-25,,950,2015-05-24T04:51:40+03:00,WNA/IAEA,584
772,Zaporozhye-2,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1981-01-01,1986-02-15,,950,2015-05-24T04:51:40+03:00,WNA/IAEA,586
773,Zaporozhye-3,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1982-04-01,1987-03-05,,950,2015-05-24T04:51:40+03:00,WNA/IAEA,594
774,Zaporozhye-4,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1983-04-01,1988-04-14,,950,2015-05-24T04:51:40+03:00,WNA/IAEA,595
775,Zaporozhye-5,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1985-11-01,1989-10-27,,950,2015-05-24T04:51:39+03:00,WNA/IAEA,566
776,Zaporozhye-6,47.508000,34.627000,Ukraine,UA,Operational,PWR,VVER V-320,1986-06-01,1996-09-17,,950,2015-05-24T04:51:39+03:00,WNA/IAEA,567
777,Zhangzhou-1,23.829167,117.491667,China,CN,Under Construction,PWR,HPR1000,2019-10-16,,,1126,2021-01-09T20:00:00+02:00,WNA/IAEA/Wikipedia,1083
778,Zion-1,42.446000,-87.801000,United States,US,Shutdown,PWR,WH 4LP,1968-12-01,1973-12-31,1998-02-13,1040,2017-02-10T23:58:20+02:00,WNA/IAEA,640
779,Zion-2,42.446000,-87.801000,United States,US,Shutdown,PWR,WH 4LP,1968-12-01,1974-09-17,1998-02-13,1040,2017-02-10T23:58:24+02:00,WNA/IAEA,646
780,Fangchenggang-3,21.600000,108.300000,China,CN,Operational,PWR,HPR1000,2015-12-24,2023-03-25,,1000,2023-08-28T08:01:45+03:00,IAEA,945
781,Barakah-4 (Braka),23.952748,52.203298,United Arab Emirates,AE,Under Construction,PWR,APR-1400,2015-07-30,,,1310,2023-08-28T08:01:45+03:00,IAEA,1053
783,KANUPP-2,24.845000,66.790000,Pakistan,PK,Operational,PWR,ACP-1000,2015-08-20,2021-05-21,,1017,2022-04-21T20:26:19+03:00,IAEA,1067
784,Fangchenggang-4,21.600000,108.300000,China,CN,Under Construction,PWR,HPR1000,2016-12-23,,,1000,2017-02-10T23:59:38+02:00,IAEA,946
785,KANUPP-3,24.845000,66.790000,Pakistan,PK,Operational,PWR,ACP-1000,2016-05-31,2022-04-18,,1014,2022-09-24T22:33:57+03:00,IAEA,1068
786,Rooppur-1,24.066667,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2017-11-30,,,1080,2018-03-10T20:52:25+02:00,IAEA,1078
787,Kursk 2-1,51.674000,35.607000,Russia,RU,Under Construction,PWR,VVER V-510,2018-04-28,,,1200,2023-08-28T08:01:45+03:00,IAEA,903
788,Rooppur-2,24.066667,89.047222,Bangladesh,BD,Under Construction,PWR,VVER V-523,2018-07-14,,,1080,2018-10-13T22:30:35+03:00,IAEA,1079
789,Kursk 2-2,51.674000,35.607000,Russia,RU,Under Construction,PWR,VVER V-510,2019-05-01,,,1200,2023-08-28T08:01:45+03:00,IAEA,1008
790,Taipingling-1,22.693056,114.983333,China,CN,Under Construction,PWR,HPR1000,2019-12-26,,,1116,2020-06-06T02:41:28+03:00,IAEA,1084
791,Zhangzhou-2,23.829167,117.491667,China,CN,Under Construction,PWR,HPR-1000,2020-09-04,,,1126,2021-01-09T20:00:00+02:00,IAEA/Wikipedia,1090
792,Taipingling-2,22.693056,114.983333,China,CN,Under Construction,PWR,HPR1000,2020-10-15,,,1116,2021-01-09T17:57:48+02:00,IAEA,1091
793,Xiapu-1,26.803611,120.155000,China,CN,Under Construction,FBR,CFR600,2017-12-29,,,642,2021-04-30T21:49:18+03:00,WNA/Wikipedia/IAEA,1101
794,Xiapu-2,26.803611,120.155000,China,CN,Under Construction,FBR,CFR-600,2020-12-27,,,600,2021-02-14T00:09:00+02:00,WNA/Wikipedia,
795,Cernavoda-4,44.322000,28.061000,Romania,RO,Suspended Construction,PHWR,,1985-08-15,,,655,2021-02-14T01:00:00+02:00,IAEA/Wikipedia,
796,Cernavoda-5,44.322000,28.061000,Romania,RO,Cancelled Construction,PHWR,,1987-05-12,,,655,2021-02-14T01:01:00+02:00,IAEA/Wikipedia,
797,Zwentendorf,48.354400,15.884700,Austria,AT,Never Commissioned,BWR,,1972-04-04,,,692,2021-02-14T02:59:00+02:00,IAEA/Wikipedia,
798,SNR-300 (Kalkar),51.763056,6.326944,Germany,DE,Never Commissioned,FBR,SNR-300,1973-04-23,,,295,2021-02-14T02:59:00+02:00,IAEA/Wikipedia,
799,Sanaocun-1,27.201487,120.517974,China,CN,Under Construction,PWR,HRP1000,2020-12-31,,,1117,2021-02-14T03:47:53+02:00,IAEA/WNA,1094
800,CAP1400-1,36.965556,122.520000,China,CN,Under Construction,PWR,CAP1400,2013-03-22,,,1534,2021-04-20T02:47:37+03:00,IAEA/Wikipedia,1085
801,CAP1400-2,36.965556,122.520000,China,CN,Under Construction,PWR,CAP1400,2013-03-22,,,1534,2021-04-20T02:47:37+03:00,IAEA/Wikipedia,1086
802,Changjiang-3,19.460750,108.899917,China,CN,Under Construction,PWR,HPR1000,2021-03-31,,,1000,2021-06-29T00:12:17+03:00,IAEA/Wikipedia,941
803,Xudabu-1,40.351389,120.545833,China,CN,Under Construction,PWR,CAP1000,2023-11-03,,,1000,2024-03-03T20:54:44+02:00,Wikipedia/IAEA,999
804,Xudabu-2,40.351389,120.545833,China,CN,Planned,PWR,CAP1000,,,,1000,2024-03-03T20:54:44+02:00,Wikipedia,
805,Xudabu-3,40.351389,120.545833,China,CN,Under Construction,PWR,VVER-1200/V491,2021-07-28,,,1200,2022-01-05T00:04:08+02:00,WNA/Wikipedia/IAEA,1104
